symbol,timestamp,close,volume,avg_volume_20,avg_dollar_volume_20,relative_volume,return_20d,sma_20,sma_50,distance_sma20,volatility_20d,momentum_rank,relative_volume_rank,trend_rank,liquidity_rank,low_volatility_rank,score,name,exchange,shortable
HALO,2026-08-07 04:00:00+00:00,103.12,7692091.0,1689462.55,135957790.27575,4.5529810648954605,0.35328083989501313,81.53125,76.21,0.2647911077041012,0.7318648840108238,0.9842876812181096,0.9731918684700737,0.983477767878837,0.9154450473799304,0.1908155827326476,0.895120272130882,"Halozyme Therapeutics, Inc. Common Stock",NASDAQ,True
ABNB,2026-08-07 04:00:00+00:00,178.07,15917006.0,3639247.05,539405304.4535,4.373708566996022,0.19815637195532232,149.1065,143.509,0.19424706501728606,0.6788726959821993,0.9523770956507653,0.972057989795092,0.9682513971005102,0.976593504495019,0.21187332955373775,0.8888434437515186,"Airbnb, Inc. Class A Common Stock",NASDAQ,True
CHYM,2026-08-07 04:00:00+00:00,29.1,20791673.0,7126958.6,176189163.9275,2.917327596094076,0.39101338432122357,23.200499999999998,20.4888,0.2542833128596369,0.8576803876119392,0.9874463432412732,0.9513242083097109,0.9820199238681461,0.9314813314975298,0.1439216003887584,0.8873815501741313,"Chime Financial, Inc. Class A Common Stock",NASDAQ,True
DEO,2026-08-07 04:00:00+00:00,96.35,3135722.0,1169621.95,101585016.3585,2.6809705477911048,0.17457027916615853,86.3725,83.17020000000001,0.11551709166690771,0.345303870536578,0.9431440835830566,0.9455738236008747,0.9254879727869118,0.8971410059123673,0.43144083583056614,0.8844496638859642,Diageo plc,NYSE,True
OWL,2026-08-07 04:00:00+00:00,11.87,34382501.0,18970354.1,192952738.423,1.8124332745059302,0.2681623931623931,10.0705,9.6716,0.17869023385134808,0.4540994577675403,0.972057989795092,0.8936583785534947,0.9607192030452741,0.9364218028670932,0.3379768364784968,0.8832185956102697,Blue Owl Capital Inc.,NYSE,True
U,2026-08-07 04:00:00+00:00,43.0,18545773.0,10458723.0,351341030.2435,1.7732349350871994,0.3920362576885723,32.3315,30.207600000000003,0.32997231801803206,0.7383230832214328,0.9876083259091277,0.8896088118571313,0.9908479792662185,0.9637968737345104,0.18781890337733861,0.8813962905969062,Unity Software Inc.,NYSE,True
GTLB,2026-08-07 04:00:00+00:00,38.97,10194299.0,3722573.9,123954009.86275001,2.7385081596365355,0.20203578038247993,33.72525,31.4463,0.1555140436319966,0.5595397857192579,0.954077913663238,0.9475176156151291,0.9504333036365109,0.909937636672876,0.27034907264922653,0.878922005345428,GitLab Inc. Class A Common Stock,NASDAQ,True
DBX,2026-08-07 04:00:00+00:00,34.81,9230582.0,3881307.15,121871168.86499998,2.3782147723093754,0.19253168893456674,31.487000000000002,29.0518,0.1055356178740432,0.39831615092157724,0.9496233902972382,0.934559002186766,0.9152830647120758,0.9083178099943306,0.3816311654652952,0.8780594476391026,"Dropbox, Inc. Class A Common Stock",NASDAQ,True
TNDM,2026-08-07 04:00:00+00:00,22.38,5435959.0,2034481.35,36671693.3455,2.6719139008081836,0.4523036988968201,18.0085,17.0408,0.2427464808284976,0.849894373654417,0.9917388839394184,0.9453308495990929,0.9804000971896007,0.8187413946707702,0.1465943144083583,0.8760549121244027,"Tandem Diabetes Care, Inc. Common Stock",NASDAQ,True
FIVN,2026-08-07 04:00:00+00:00,33.99,7881443.0,3295328.5,87455055.79550001,2.3917017681241792,0.33713611329661686,26.577000000000005,24.0281,0.27892538661248434,0.9721666404953332,0.9821819065360007,0.9349639588564024,0.9857455252288005,0.8866931238357496,0.11670851218919576,0.8749939256499555,"Five9, Inc. Common Stock",NASDAQ,True
ELF,2026-08-07 04:00:00+00:00,98.49,4489498.0,2583376.8,211354432.363,1.737840952972869,0.28325732899022804,81.18249999999999,70.7824,0.21319249838327226,0.6322229632010655,0.9751356604843282,0.8852352798250587,0.9737588078075646,0.9401474042277477,0.23276909370697335,0.8746497124807647,"e.l.f. Beauty, Inc.",NYSE,True
GEN,2026-08-07 04:00:00+00:00,29.17,11324466.0,4183191.85,112920383.43174998,2.7071352225932452,0.12582014666152075,27.027750000000005,25.9534,0.07926112976477873,0.3060585580519095,0.9135012553656758,0.9462217542722928,0.8794848951162225,0.9042682432979671,0.47128857212278286,0.8697335385113794,Gen Digital Inc. Common Stock,NASDAQ,True
DNOW,2026-08-07 04:00:00+00:00,16.52,4133406.0,2340589.0,33057939.7425,1.7659683096861516,0.26590038314176234,14.142000000000001,13.6176,0.1681516051477867,0.45642221231606245,0.9718150157933101,0.8884749331821495,0.957074593018547,0.8092654086012797,0.3362760184660241,0.8682230501336357,DNOW Inc.,NYSE,True
ESTC,2026-08-07 04:00:00+00:00,75.11,2539193.0,1712787.0,109190093.08250001,1.482491985284802,0.24684594953519245,64.035,61.828599999999994,0.17295229171546822,0.45409745180926026,0.9676034664290921,0.8478982748845874,0.9590993763667287,0.9025674252854945,0.33805782781242405,0.8665181825544666,Elastic N.V.,NYSE,True
CTSH,2026-08-07 04:00:00+00:00,57.67,12627088.0,9336295.95,462985910.059,1.352472979393932,0.3547098895936105,49.191250000000004,47.979400000000005,0.1723629710568444,0.5602824934483409,0.984368672552037,0.818660403336843,0.9586944196970925,0.9727869118004373,0.2697821333117356,0.8651899246780596,Cognizant Technology Solutions Corporation Class A Common Stock,NASDAQ,True
VNT,2026-08-07 04:00:00+00:00,35.09,2425811.0,1501710.4,47777276.143,1.6153653860291572,0.19272603670972122,31.607500000000005,30.0612,0.1101795459938304,0.3029802415225838,0.9497043816311654,0.8693609783753138,0.9203855187494938,0.8385842714829513,0.47469020814772817,0.8651413298777031,Vontier Corporation,NYSE,True
JHX,2026-08-07 04:00:00+00:00,30.23,12178677.0,7726242.35,204023615.025,1.576274267399857,0.2194433239209359,26.5665,25.288400000000003,0.13789923399770387,0.5060792673592538,0.9610431683809832,0.8630436543289868,0.9427391269134202,0.9386895602170567,0.30436543289867984,0.8649793472098485,James Hardie Industries plc,NYSE,True
DV,2026-08-07 04:00:00+00:00,13.21,38190611.0,2037128.25,23290350.844,18.747278675262592,0.1319622964867182,11.492500000000001,10.964199999999998,0.1494452904067869,0.6308403840766296,0.918360735401312,0.9943306066250911,0.9476795982829838,0.7818093463999352,0.23325504171053696,0.861051267514376,"DoubleVerify Holdings, Inc.",NYSE,True
TPG,2026-08-07 04:00:00+00:00,48.99,4219191.0,2279917.1,102238336.65,1.8505896552115864,0.1481134286383876,44.3215,42.7554,0.10533262637771745,0.39485387267244904,0.9288086174779299,0.896736049242731,0.9149590993763668,0.8980319105855673,0.38397991414918603,0.8604600307767069,TPG Inc. Class A Common Stock,NASDAQ,True
HRB,2026-08-07 04:00:00+00:00,46.19,4757945.0,1842275.65,79106769.50850001,2.582645544927004,0.16670876483960573,43.0685,39.7742,0.07247756480954748,0.44136434045773887,0.9382846035474204,0.9424151615777112,0.8675791690289139,0.8791609297805135,0.3472908398801328,0.8601644124078723,"H&R Block, Inc.",NYSE,True
SWK,2026-08-07 04:00:00+00:00,103.89,2958577.0,2038336.95,191667824.1915,1.4514661081917786,0.17762412151439588,93.36,88.3858,0.11278920308483298,0.3776401476081913,0.9443589535919656,0.8412569855025512,0.9228152587673119,0.9357738721956751,0.3996112415971491,0.8589414432655706,"Stanley Black & Decker, Inc.",NYSE,True
LDOS,2026-08-07 04:00:00+00:00,137.57,1956687.0,1538598.15,177536312.704,1.271733623233591,0.28546066155858707,115.124,114.32879999999999,0.194972377610229,0.503300243493885,0.9757025998218191,0.79768364784968,0.9686563537701466,0.9318862881671661,0.30566129424151617,0.8584028508949542,"Leidos Holdings, Inc.",NYSE,True
LYFT,2026-08-07 04:00:00+00:00,17.46,23940603.0,11628445.75,179526607.8655,2.0587964646952064,0.1185137732222934,15.6625,14.913800000000002,0.11476456504389465,0.4802655773982477,0.906050052644367,0.9166599173888393,0.9246780594476391,0.9323722361707297,0.32048270835020654,0.8565036041143597,"Lyft, Inc. Class A Common Stock",NASDAQ,True
TXG,2026-08-07 04:00:00+00:00,52.03,5434187.0,2889600.9,132775336.20899999,1.8806012276643465,0.21764568219049862,46.464,38.9354,0.11979166666666674,0.7981035263032606,0.9599902810399287,0.9011095812748036,0.929456548149348,0.9146351340406577,0.1629545638616668,0.8549242731027779,"10x Genomics, Inc. Class A Common Stock",NASDAQ,True
FLR,2026-08-07 04:00:00+00:00,57.0,7958624.0,2175638.9,109699574.955,3.658062925791592,0.12337406385494676,50.701,50.577799999999996,0.12423818070649495,0.7698493108147335,0.9105045760103669,0.9652547177452012,0.9328581841742933,0.9028913906212035,0.17486028994897546,0.8543370859318054,Fluor Corporation,NYSE,True
BR,2026-08-07 04:00:00+00:00,166.5,2170262.0,1063498.15,165245946.17000002,2.0406824403032577,0.1290431952261477,153.959,148.6772,0.08145675147279463,0.4347646992122096,0.9160119867174212,0.9155260387138576,0.8834534704786587,0.927350773467239,0.3528792419211144,0.854199400664129,Broadridge Financial Solutions Inc,NYSE,True
FSK,2026-08-07 04:00:00+00:00,12.44,4862644.0,2577437.7,28379725.3315,1.8866194127601996,0.15185185185185168,11.0045,10.7684,0.13044663546730884,0.44684076346641427,0.9307524094921843,0.9019194946140763,0.9374746902081478,0.7981695958532437,0.34372722118733295,0.8529278367214708,FS KKR Capital Corp. Common Stock,NYSE,True
CGAU,2026-08-07 04:00:00+00:00,21.24,2251672.0,1537517.8,25929738.525,1.4644851591311658,0.309494451294698,16.9865,16.5794,0.25040473317045886,0.6284398856036508,0.9787802705110553,0.8438487081882239,0.9812910018628007,0.7905564104640803,0.23463189438730056,0.8523123025836236,Centerra Gold Inc.,NYSE,True
MGNI,2026-08-07 04:00:00+00:00,24.72,4031246.0,2461899.05,50482269.8805,1.637453818425252,0.21533923303834812,20.0095,18.4984,0.23541317874009837,0.753037715913175,0.9586944196970925,0.8719527010609864,0.9791852271806917,0.8423098728436057,0.18166356199886613,0.8517656110796146,"Magnite, Inc. Common Stock",NASDAQ,True
CARG,2026-08-07 04:00:00+00:00,38.985,2180267.0,1018015.6,35921794.241000004,2.1416832905114616,0.14057928613224102,35.55575,32.7251,0.09644712880476414,0.454583309181487,0.9245160767797845,0.9221673280958937,0.9049161739693853,0.816878593990443,0.3374908884749332,0.8505426419373128,"CarGurus, Inc. Class A Common Stock",NASDAQ,True
REAL,2026-08-07 04:00:00+00:00,12.3,12127393.0,2880541.6,33935413.105000004,4.210108612908073,0.1603773584905661,11.748999999999999,11.1798,0.04689760830709022,0.40278388215883376,0.9351259415242569,0.9709241111201101,0.8002753705353527,0.811452174617316,0.37750060743500446,0.84897545962582,"The RealReal, Inc. Common Stock",NASDAQ,True
BMRN,2026-08-07 04:00:00+00:00,63.81,4365328.0,1711204.9,102600932.09375,2.5510258882498524,0.07933017591339664,60.07525,58.1229,0.06216786446997724,0.2451401763754702,0.8574552522880052,0.9412002915688021,0.845063578197133,0.8983558759212764,0.5379444399449259,0.8480521584190491,BioMarin Pharmaceutical Inc. Common Stock,NASDAQ,True
HMC,2026-08-07 04:00:00+00:00,31.82,1862790.0,1149652.05,33745759.343,1.6203076400376966,0.13927676333691363,29.297500000000003,27.9242,0.08609949654407356,0.29846138427231417,0.9237061634405118,0.8700899003806593,0.8900137685267676,0.8109662266137523,0.4792257228476553,0.8478415809508383,"Honda Motor Co., Ltd. American Depositary Share, each representing three (3) shares of Common Stock",NYSE,True
LIFE,2026-08-07 04:00:00+00:00,31.61,1539322.0,1120980.6,27090172.477749996,1.373192363899964,0.573419611747138,21.35575,19.2099,0.48016342202919593,0.9872964247463816,0.9953025026322183,0.8237628573742609,0.9970843119786182,0.7942010204908074,0.1136308414999595,0.844496638859642,Ethos Technologies Inc. Class A Common Stock,NASDAQ,False
JBS,2026-08-07 04:00:00+00:00,14.23,6542666.0,4759773.65,62576435.264,1.3745750283734606,0.19479429051217467,12.966,12.4602,0.09748573191423726,0.43748545489673546,0.95075726897222,0.8240058313760428,0.9062120353122216,0.8617477929861505,0.3506114845711509,0.8412448368024621,JBS N.V.,NYSE,True
AMLX,2026-08-07 04:00:00+00:00,22.82,2678217.0,1990034.35,39351991.77949999,1.3458144579263167,0.2841868317388858,19.427,17.2582,0.1746538322952591,0.7235454165732087,0.97537863448611,0.8171215679922248,0.9599092897060014,0.8246537620474609,0.19494614076293837,0.8396047622904349,"Amylyx Pharmaceuticals, Inc. Common Stock",NASDAQ,True
MNDY,2026-08-07 04:00:00+00:00,93.13,2506995.0,1566268.3,128310894.90599999,1.6006165738015639,0.12925912453013222,83.47,80.9444,0.11573020246795251,0.6867914973595205,0.9161739693852757,0.8667692556896412,0.9258929294565481,0.9121244026889123,0.2090386328662833,0.8346480926540859,monday.com Ltd. Ordinary Shares,NASDAQ,True
GMAB,2026-08-07 04:00:00+00:00,31.25,3507481.0,2111061.1,61132953.49849999,1.6614777279539659,0.07758620689655182,28.96725,27.305899999999998,0.0788045119919909,0.2545651053689869,0.8542965902648416,0.8764072244269863,0.8787559731108772,0.8597230096379688,0.5289544018789989,0.8327245484733133,Genmab A/S ADS,NASDAQ,True
G,2026-08-07 04:00:00+00:00,34.29,3930912.0,2007240.95,66026232.81700001,1.9583657856322632,0.16751787538304375,32.765499999999996,31.3776,0.046527597625551476,0.5128192394670591,0.9390945168866931,0.9084797926621851,0.7989795091925164,0.8662023163521503,0.2993439701951891,0.8321535595691262,GENPACT LIMITED,NYSE,True
AVT,2026-08-07 04:00:00+00:00,96.53,1577911.0,1113649.15,99797012.53299999,1.4168834053346155,0.10788476988408124,88.89750000000001,88.324,0.08585730757332866,0.394534542737005,0.894954239896331,0.834291730784806,0.8896088118571313,0.8954401878998947,0.38430387948489514,0.8277030857698224,"Avnet, Inc. Common Stock",NASDAQ,True
CRGY,2026-08-07 04:00:00+00:00,11.57,7755561.0,5733362.7,61924989.05600001,1.3527071992148691,0.22175290390707492,10.9015,10.793399999999998,0.061321836444526046,0.5052509890500559,0.9617720903863287,0.8187413946707702,0.8428768121810967,0.8610188709808051,0.3046893982343889,0.8264517696606465,Crescent Energy Company,NYSE,True
FA,2026-08-07 04:00:00+00:00,24.01,2577973.0,1967078.15,41837759.97849999,1.3105595219996726,0.2287615148413511,21.0885,18.7677,0.1385352206178725,0.818927089780127,0.963391917064874,0.8079695472584434,0.9430630922491293,0.8287843200777517,0.15590831780999434,0.8262614400259172,First Advantage Corporation Common Stock,NASDAQ,True
GPN,2026-08-07 04:00:00+00:00,86.12,5308716.0,3339517.85,276621985.141,1.58966540634002,0.1325618095739085,82.79499999999999,75.2034,0.04015942991726584,0.4387703652937062,0.9187656920709484,0.8645014983396777,0.7707135336518992,0.9527820523204017,0.3494776058961691,0.8220620393617883,"Global Payments, Inc.",NYSE,True
RBRK,2026-08-07 04:00:00+00:00,90.07,4046893.0,2472303.1,194551195.8205,1.636891932870205,0.06743304100497749,78.0965,77.16059999999999,0.1533167299430831,0.6226768546405963,0.8350206527901515,0.8717097270592047,0.9492184336276018,0.9369887422045841,0.23738559974082774,0.8174657811614159,"Rubrik, Inc.",NYSE,True
GENI,2026-08-07 04:00:00+00:00,7.59,9278785.0,7132370.75,51497280.182,1.300939803220409,0.22617124394184152,6.969499999999999,6.5444,0.08903077695674022,0.8441432411976015,0.9626629950595287,0.8057827812424071,0.8935773872195675,0.844172673523933,0.14837612375475825,0.8163481007532194,Genius Sports Limited,NYSE,True
BIZD,2026-08-07 04:00:00+00:00,13.41,4762921.0,2987386.65,37682379.6695,1.594343671583322,0.06852589641434248,12.6435,12.556400000000002,0.060624036065962894,0.2348381383438958,0.8375313841418968,0.8656353770146594,0.8407710374989876,0.8213331173564429,0.5504171053697254,0.814874058475743,VanEck BDC Income ETF,ARCA,False
OPCH,2026-08-07 04:00:00+00:00,23.79,3897447.0,2609965.35,58837145.01450001,1.4932945374159852,0.10292072322670376,22.425500000000003,21.7036,0.06084591201979861,0.4159332492147115,0.888636915850004,0.8498420668988418,0.8414189681704057,0.8564023649469507,0.36810561269944114,0.8142180286709323,"Option Care Health, Inc. Common Stock",NASDAQ,True
